,Year,COMMUNITY,count
599,2007,LOWER WEST SIDE,4287
600,2018,SOUTH CHICAGO,4284
601,2006,ASHBURN,4283
602,2013,UPTOWN,4276
603,2019,NEW CITY,4243
604,2008,ASHBURN,4241
605,2019,SOUTH CHICAGO,4240
606,2003,GAGE PARK,4239
607,2007,EDGEWATER,4239
608,2007,ASHBURN,4223
609,2019,LINCOLN PARK,4203
610,2007,BRIGHTON PARK,4199
611,2005,LOWER WEST SIDE,4197
612,2006,GARFIELD RIDGE,4196
613,2018,NEW CITY,4188
614,2009,WASHINGTON PARK,4176
615,2008,DOUGLAS,4169
616,2008,WASHINGTON PARK,4164
617,2014,WOODLAWN,4158
618,2011,WASHINGTON HEIGHTS,4151
619,2012,PORTAGE PARK,4150
620,2016,LINCOLN PARK,4140
621,2006,AVONDALE,4139
622,2008,BRIGHTON PARK,4117
623,2008,EDGEWATER,4116
624,2012,GRAND BOULEVARD,4105
625,2020,LAKE VIEW,4084
626,2005,GARFIELD RIDGE,4080
627,2021,WEST GARFIELD PARK,4078
628,2006,GAGE PARK,4076
629,2002,IRVING PARK,4075
630,2017,ROGERS PARK,4069
631,2014,LINCOLN PARK,4063
632,2006,ALBANY PARK,4061
633,2010,WASHINGTON PARK,4052
634,2012,WEST RIDGE,4024
635,2008,LOWER WEST SIDE,4011
636,2018,WEST PULLMAN,4009
637,2011,WASHINGTON PARK,4002
638,2022,BELMONT CRAGIN,4000
639,2005,ASHBURN,3995
640,2019,ROGERS PARK,3990
641,2013,GRAND BOULEVARD,3990
642,2007,GARFIELD RIDGE,3973
643,2013,PORTAGE PARK,3964
644,2012,WASHINGTON HEIGHTS,3960
645,2017,WEST PULLMAN,3955
646,2010,GAGE PARK,3943
647,2015,WEST PULLMAN,3943
648,2004,ASHBURN,3943
649,2002,WEST RIDGE,3940
650,2022,LOGAN SQUARE,3940
651,2002,WASHINGTON HEIGHTS,3939
652,2003,NEAR SOUTH SIDE,3936
653,2022,ROGERS PARK,3930
654,2012,IRVING PARK,3929
655,2008,GAGE PARK,3904
656,2007,GAGE PARK,3902
657,2013,WASHINGTON HEIGHTS,3895
658,2009,GAGE PARK,3887
659,2005,ALBANY PARK,3886
660,2004,GAGE PARK,3876
661,2007,AVONDALE,3871
662,2016,WEST PULLMAN,3868
663,2022,WEST RIDGE,3866
664,2008,AVONDALE,3860
665,2019,WEST PULLMAN,3833
666,2009,BRIGHTON PARK,3828
667,2008,NEAR SOUTH SIDE,3813
668,2009,AVONDALE,3810
669,2020,WEST PULLMAN,3809
670,2022,WEST GARFIELD PARK,3808
671,2013,WEST RIDGE,3803
672,2017,WOODLAWN,3797
673,2004,ALBANY PARK,3792
674,2014,UPTOWN,3791
675,2003,ASHBURN,3785
676,2014,ROGERS PARK,3779
677,2008,ALBANY PARK,3758
678,2018,ROGERS PARK,3748
679,2022,NEW CITY,3747
680,2010,AVONDALE,3741
681,2011,GAGE PARK,3736
682,2022,SOUTH LAWNDALE,3730
683,2002,WASHINGTON PARK,3730
684,2020,BELMONT CRAGIN,3729
685,2022,UPTOWN,3713
686,2011,BRIGHTON PARK,3708
687,2007,ALBANY PARK,3697
688,2022,EAST GARFIELD PARK,3697
689,2009,ASHBURN,3696
690,2020,EAST GARFIELD PARK,3693
691,2015,LINCOLN PARK,3693
692,2002,EDGEWATER,3684
693,2010,EDGEWATER,3668
694,2015,WOODLAWN,3652
695,2007,NEAR SOUTH SIDE,3640
696,2007,MORGAN PARK,3640
697,2016,ROGERS PARK,3638
698,2020,LOGAN SQUARE,3637
699,2004,MORGAN PARK,3622
700,2021,SOUTH CHICAGO,3621
701,2006,MORGAN PARK,3612
702,2016,WOODLAWN,3598
703,2008,GARFIELD RIDGE,3597
704,2009,LOWER WEST SIDE,3587
705,2009,EDGEWATER,3580
706,2021,BELMONT CRAGIN,3570
707,2015,UPTOWN,3563
708,2018,UPTOWN,3562
709,2003,MORGAN PARK,3558
710,2021,EAST GARFIELD PARK,3550
711,2020,SOUTH LAWNDALE,3550
712,2002,GARFIELD RIDGE,3550
713,2006,WEST LAWN,3548
714,2004,WEST LAWN,3546
715,2010,ALBANY PARK,3545
716,2009,ALBANY PARK,3540
717,2017,WEST RIDGE,3538
718,2020,NEW CITY,3537
719,2005,MORGAN PARK,3533
720,2010,BRIGHTON PARK,3528
721,2019,WOODLAWN,3524
722,2016,UPTOWN,3515
723,2003,WEST LAWN,3513
724,2015,ROGERS PARK,3507
725,2010,LOWER WEST SIDE,3494
726,2013,IRVING PARK,3487
727,2014,GRAND BOULEVARD,3485
728,2021,WEST PULLMAN,3484
729,2021,LOGAN SQUARE,3483
730,2021,NEW CITY,3483
731,2002,AVONDALE,3482
732,2010,ASHBURN,3473
733,2018,WEST RIDGE,3472
734,2017,UPTOWN,3470
735,2012,WASHINGTON PARK,3466
736,2002,LOWER WEST SIDE,3444
737,2011,LOWER WEST SIDE,3437
738,2018,WOODLAWN,3436
739,2008,MORGAN PARK,3419
740,2019,WEST RIDGE,3416
741,2022,LINCOLN PARK,3396
742,2014,WEST RIDGE,3394
743,2015,PORTAGE PARK,3388
744,2017,GRAND BOULEVARD,3385
745,2014,PORTAGE PARK,3371
746,2013,WASHINGTON PARK,3368
747,2011,AVONDALE,3365
748,2022,GRAND BOULEVARD,3361
749,2005,LINCOLN SQUARE,3350
750,2019,GRAND BOULEVARD,3348
751,2020,SOUTH CHICAGO,3346
752,2004,LINCOLN SQUARE,3341
753,2011,EDGEWATER,3332
754,2022,WEST PULLMAN,3322
755,2017,PORTAGE PARK,3315
756,2009,MORGAN PARK,3311
757,2002,BRIGHTON PARK,3291
758,2012,LOWER WEST SIDE,3283
759,2019,UPTOWN,3283
760,2021,ROGERS PARK,3281
761,2016,GRAND BOULEVARD,3272
762,2012,AVONDALE,3271
763,2006,LINCOLN SQUARE,3268
